abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
AL,Alabama,N/A,994.0,1134.0,1129.0,4422.0,1595.0,1140.0,42.0,203.0,14049.0,20441.0,940.0,302.0,2710.0,1363.0,422.0,931.0,2473.0,2102.0,120.0,1449.0,1564.0,4938.0,812.0,6728.0,1773.0,293.0,176.0,523.0,194.0,1834.0,738.0,4968.0,4706.0,143.0,2548.0,745.0,336.0,3064.0,56.0,2293.0,154.0,8684.0,6417.0,796.0,154.0,3290.0,845.0,373.0,1004.0,228.0
AK,Alaska,585.0,N/A,1240.0,211.0,3121.0,1515.0,138.0,33.0,108.0,1676.0,1288.0,699.0,559.0,716.0,300.0,84.0,747.0,477.0,341.0,138.0,375.0,444.0,862.0,614.0,129.0,919.0,483.0,253.0,743.0,244.0,328.0,356.0,1350.0,1345.0,131.0,798.0,518.0,1836.0,942.0,28.0,568.0,211.0,388.0,2432.0,632.0,132.0,769.0,3757.0,50.0,576.0,167.0
AZ,Arizona,1118.0,3078.0,N/A,838.0,53284.0,10454.0,2500.0,522.0,197.0,7600.0,3190.0,2286.0,3273.0,10797.0,3637.0,2780.0,2446.0,1850.0,1220.0,1406.0,2092.0,4876.0,16492.0,12572.0,594.0,4199.0,1672.0,1899.0,7148.0,1074.0,6318.0,8080.0,11928.0,3677.0,1255.0,5477.0,3655.0,8107.0,8654.0,1376.0,1319.0,1850.0,3071.0,15251.0,7712.0,890.0,4390.0,13785.0,552.0,10686.0,2118.0
AR,Arkansas,1122.0,576.0,1239.0,N/A,4516.0,1673.0,650.0,7.0,211.0,2266.0,2300.0,104.0,73.0,3137.0,752.0,673.0,1475.0,1111.0,3382.0,38.0,268.0,396.0,2316.0,738.0,2887.0,7463.0,281.0,348.0,468.0,122.0,478.0,430.0,2272.0,1309.0,41.0,841.0,7733.0,361.0,1226.0,36.0,270.0,154.0,4605.0,13987.0,419.0,18.0,1128.0,790.0,148.0,1304.0,287.0
CA,California,4933.0,6417.0,35276.0,3266.0,N/A,18089.0,10984.0,807.0,4379.0,24650.0,11264.0,12667.0,5528.0,22182.0,7057.0,2889.0,4336.0,3801.0,5064.0,2696.0,9115.0,26588.0,19766.0,16040.0,2489.0,7196.0,2318.0,2742.0,27651.0,2372.0,25046.0,5994.0,68938.0,12178.0,1515.0,9476.0,6051.0,20710.0,24382.0,3414.0,5254.0,1094.0,6712.0,38388.0,11497.0,1574.0,15175.0,33406.0,933.0,12754.0,1608.0
CO,Colorado,2516.0,2121.0,10787.0,1451.0,25116.0,N/A,3212.0,142.0,844.0,10467.0,5653.0,2670.0,2018.0,9166.0,2920.0,3113.0,5483.0,2010.0,3280.0,504.0,2793.0,5760.0,6900.0,7860.0,974.0,5442.0,2006.0,3663.0,3485.0,1304.0,4650.0,6184.0,14818.0,4680.0,1403.0,4153.0,4936.0,3176.0,8676.0,338.0,2048.0,1323.0,2646.0,21616.0,4469.0,1468.0,6469.0,6134.0,499.0,7368.0,4301.0
CT,Connecticut,372.0,827.0,897.0,199.0,3798.0,693.0,N/A,344.0,390.0,6069.0,1648.0,481.0,40.0,1700.0,376.0,120.0,154.0,201.0,367.0,1015.0,1613.0,8400.0,622.0,630.0,106.0,494.0,19.0,8.0,250.0,1311.0,5127.0,235.0,22683.0,1881.0,26.0,1088.0,197.0,282.0,3471.0,3191.0,1016.0,86.0,585.0,2463.0,140.0,614.0,2531.0,849.0,141.0,385.0,52.0
DE,Delaware,62.0,338.0,152.0,0.0,940.0,90.0,1812.0,N/A,224.0,860.0,710.0,7.0,19.0,450.0,78.0,26.0,55.0,85.0,74.0,278.0,6822.0,992.0,312.0,424.0,87.0,218.0,33.0,74.0,133.0,234.0,9664.0,199.0,7004.0,1084.0,114.0,215.0,95.0,29.0,19636.0,48.0,496.0,4.0,184.0,619.0,34.0,70.0,1280.0,210.0,124.0,62.0,0.0
DC,DC,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,14076.0,6296.0,8030.0,3560.0,23702.0,8962.0,24556.0,1919.0,1540.0,N/A,40073.0,2070.0,1104.0,22691.0,13672.0,4288.0,3429.0,7969.0,5493.0,9052.0,14282.0,35528.0,44600.0,11476.0,5413.0,10539.0,826.0,1610.0,4106.0,8612.0,58416.0,2606.0,118970.0,26387.0,626.0,25043.0,3801.0,2166.0,58636.0,6676.0,13223.0,885.0,15342.0,27486.0,2607.0,3998.0,24948.0,5425.0,3507.0,16488.0,499.0
