abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
AL,Alabama,N/A,585.0,1118.0,1122.0,4933.0,2516.0,744.0,62.0,225.0,14076.0,17029.0,559.0,225.0,1658.0,1538.0,506.0,721.0,2021.0,3579.0,230.0,1353.0,1008.0,4058.0,1000.0,6380.0,1907.0,95.0,287.0,856.0,148.0,858.0,384.0,2300.0,4093.0,242.0,2302.0,784.0,358.0,3278.0,298.0,2231.0,25.0,9453.0,7849.0,379.0,88.0,3090.0,1185.0,329.0,990.0,161.0,118338.0,111216.0
AK,Alaska,994.0,N/A,3078.0,576.0,6417.0,2121.0,1654.0,338.0,447.0,6296.0,2383.0,946.0,1971.0,1667.0,353.0,1016.0,596.0,585.0,719.0,386.0,996.0,1914.0,4052.0,1366.0,180.0,1260.0,814.0,424.0,1629.0,764.0,1068.0,612.0,5672.0,2362.0,204.0,1053.0,900.0,2307.0,2338.0,90.0,825.0,364.0,1274.0,5659.0,1730.0,108.0,1826.0,4540.0,596.0,894.0,279.0,36356.0,80643.0
AZ,Arizona,1134.0,1240.0,N/A,1239.0,35276.0,10787.0,1794.0,152.0,457.0,8030.0,4244.0,2052.0,3080.0,5128.0,2753.0,1962.0,2152.0,1128.0,901.0,672.0,1525.0,3610.0,10110.0,6934.0,765.0,3404.0,1394.0,1504.0,6600.0,832.0,2284.0,6272.0,10898.0,4276.0,1067.0,3438.0,2894.0,7207.0,5342.0,448.0,1830.0,1062.0,2419.0,18576.0,7746.0,238.0,3136.0,10620.0,116.0,6018.0,1091.0,285245.0,217837.0
AR,Arkansas,1129.0,211.0,838.0,N/A,3266.0,1451.0,398.0,0.0,74.0,3560.0,1636.0,70.0,558.0,1537.0,886.0,872.0,1581.0,488.0,2297.0,0.0,255.0,770.0,2730.0,1272.0,2190.0,8557.0,240.0,411.0,539.0,442.0,456.0,269.0,1130.0,979.0,108.0,1111.0,7430.0,581.0,1754.0,68.0,1159.0,81.0,5216.0,13827.0,670.0,8.0,533.0,1381.0,162.0,1042.0,199.0,78429.0,76422.0
CA,California,4422.0,3121.0,53284.0,4516.0,N/A,25116.0,7596.0,940.0,3898.0,23702.0,15172.0,11428.0,13124.0,16633.0,6393.0,3559.0,5745.0,4165.0,4877.0,3456.0,7981.0,24062.0,18018.0,14048.0,4170.0,7696.0,4655.0,3426.0,49350.0,3236.0,11740.0,5168.0,46506.0,16105.0,1804.0,9764.0,8967.0,35839.0,18464.0,3500.0,6681.0,1982.0,9088.0,65031.0,17144.0,1972.0,17759.0,44693.0,1371.0,11344.0,2336.0,608661.0,685047.0
CO,Colorado,1595.0,1515.0,10454.0,1673.0,18089.0,N/A,1386.0,90.0,510.0,8962.0,4342.0,1958.0,2063.0,3518.0,1971.0,2580.0,4393.0,1618.0,1987.0,888.0,2037.0,4484.0,4212.0,6312.0,664.0,3854.0,2307.0,3835.0,3822.0,1182.0,1884.0,4718.0,6770.0,4558.0,937.0,3563.0,4423.0,4474.0,5450.0,520.0,2383.0,1316.0,1934.0,19108.0,5012.0,968.0,4228.0,7429.0,367.0,3678.0,5171.0,245015.0,191192.0
CT,Connecticut,570.0,69.0,1250.0,325.0,5492.0,1606.0,N/A,906.0,1257.0,12278.0,3472.0,412.0,56.0,1433.0,903.0,183.0,334.0,252.0,251.0,1806.0,1197.0,10743.0,1007.0,501.0,99.0,369.0,18.0,278.0,615.0,2177.0,2794.0,318.0,14131.0,5261.0,81.0,1454.0,206.0,582.0,4748.0,3442.0,3090.0,6.0,808.0,2710.0,383.0,1357.0,3601.0,1495.0,364.0,485.0,39.0,80187.0,97214.0
DE,Delaware,42.0,33.0,522.0,7.0,807.0,142.0,688.0,N/A,248.0,1919.0,983.0,84.0,49.0,182.0,263.0,104.0,49.0,233.0,90.0,234.0,4749.0,638.0,252.0,154.0,37.0,198.0,0.0,20.0,143.0,78.0,3308.0,104.0,2396.0,1304.0,0.0,514.0,249.0,175.0,11850.0,158.0,394.0,0.0,262.0,1240.0,92.0,58.0,1326.0,206.0,242.0,136.0,6.0,56760.0,36968.0
DC,DC,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
FL,Florida,14049.0,1676.0,7600.0,2266.0,24650.0,10467.0,12138.0,860.0,2004.0,N/A,43398.0,2396.0,1079.0,13236.0,9192.0,2848.0,3154.0,7888.0,5922.0,5446.0,9643.0,21510.0,25224.0,6270.0,5119.0,6377.0,1037.0,2050.0,4754.0,4774.0,21418.0,2618.0,51898.0,26531.0,928.0,14813.0,3689.0,2601.0,28778.0,5290.0,13655.0,519.0,16744.0,33506.0,2519.0,1916.0,20979.0,8644.0,2372.0,8384.0,716.0,757209.0,525545.0
